,factor_01_default,factor_07_default,factor_33_default,factor_54_default_reversed,factor_05_opt,factor_13_opt,factor_34_opt,factor_47_opt,cmp_09_low_corr,cmp_04_reversal_extreme,cmp_02_volume_price,cmp_10_orth_47_to_05,cmp_08_multiscale_47
factor_01_default,1.0,0.6672848219656838,0.4013914804046264,0.1327688436820196,0.4339545674758996,0.56709474784751,0.3166496969110406,0.24112809984377548,0.5093041464965387,0.3195039079692047,0.4067254519004262,0.3907228651126256,0.25519197976057045
factor_07_default,0.6672848219656838,1.0,0.2938624082356757,0.1683823654674928,0.5319623277415068,0.7931269841736281,0.2886777321310026,0.2916066986444626,0.5205770045846044,0.35637130819260193,0.49681334647295383,0.4741749790179209,0.3050461247026185
factor_33_default,0.4013914804046264,0.2938624082356757,1.0,0.12016578825392095,0.16305465787176965,0.2691882126374444,0.09047049654620834,0.22957593926130854,0.6176687536560864,0.21142536882332197,0.21520608931275545,0.21227012410916624,0.218244513902947
factor_54_default_reversed,0.1327688436820196,0.1683823654674928,0.12016578825392095,1.0,0.03787751300981384,0.1548370488734481,0.046675083841302985,0.10018253016164312,0.5070342901874015,0.5933558940787131,0.07985244047060015,0.08676312076804586,0.10268504998484738
factor_05_opt,0.4339545674758996,0.5319623277415068,0.16305465787176965,0.03787751300981384,1.0,0.42884700273086873,0.2716029932872613,0.2843242546906524,0.635879139709184,0.2870032622585574,0.8027996317101043,0.7291405732309166,0.298877519791825
factor_13_opt,0.56709474784751,0.7931269841736281,0.2691882126374444,0.1548370488734481,0.42884700273086873,1.0,0.17999525516983814,0.23392733683906028,0.4168325990612166,0.266848280138554,0.3997453503010902,0.3810603177599567,0.23643794831844375
factor_34_opt,0.3166496969110406,0.2886777321310026,0.09047049654620834,0.04667508384130299,0.2716029932872613,0.17999525516983814,1.0,0.2373640616430992,0.6123913769113477,0.676147162149525,0.30500512686700193,0.3030334474420661,0.2563020263293216
factor_47_opt,0.24112809984377548,0.2916066986444626,0.22957593926130854,0.10018253016164312,0.2843242546906524,0.23392733683906028,0.2373640616430992,1.0,0.3456864217443236,0.7284100604471663,0.7985570339573138,0.861163778774233,0.9512161955908799
cmp_09_low_corr,0.5093041464965388,0.5205770045846044,0.6176687536560865,0.5070342901874015,0.635879139709184,0.4168325990612166,0.6123913769113477,0.3456864217443236,1.0,0.6776139983766122,0.5954839318682918,0.5613060592286744,0.35544007959610074
cmp_04_reversal_extreme,0.3195039079692047,0.35637130819260193,0.21142536882332197,0.593355894078713,0.2870032622585574,0.266848280138554,0.676147162149525,0.7284100604471663,0.6776139983766122,1.0,0.6244537532729203,0.6630621870126399,0.7081112673566967
cmp_02_volume_price,0.4067254519004262,0.49681334647295383,0.21520608931275542,0.07985244047060015,0.8027996317101043,0.39974535030109015,0.30500512686700193,0.7985570339573137,0.595483931868292,0.6244537532729203,1.0,0.9901951712040062,0.7747645316156687
cmp_10_orth_47_to_05,0.39072286511262566,0.4741749790179209,0.21227012410916624,0.08676312076804586,0.7291405732309166,0.3810603177599567,0.3030334474420661,0.861163778774233,0.5613060592286744,0.6630621870126399,0.9901951712040062,1.0,0.8309447166797609
cmp_08_multiscale_47,0.25519197976057045,0.3050461247026185,0.21824451390294702,0.10268504998484738,0.298877519791825,0.23643794831844375,0.2563020263293216,0.9512161955908799,0.35544007959610074,0.7081112673566967,0.7747645316156687,0.8309447166797609,1.0
