factor,direction,n_days,top_corr_style,top_corr_abs_mean,top_corr_mean,top_corr_abs_p95,top_portfolio_exposure_style,top_portfolio_exposure_abs_mean,top_portfolio_exposure_mean,style_proxy_flag
factor_04_reversal_turnover_enhanced,1.0,1962,Growth,0.11680618349534078,-0.0010166454847318148,0.26283979684042746,Beta,0.2240688767769279,-0.023173502015144093,False
factor_07_price_volume_deviation_vol,1.0,1962,Liquidity,0.07411937871449657,-0.0006204052532273144,0.18693931699238872,Beta,0.14327551546205322,-0.020173710094213964,False
factor_12_turnover_volatility,1.0,1962,Growth,0.107039337355413,-0.0005119332891055918,0.24317779279796495,Beta,0.20923990854002722,-0.023347255561746123,False
factor_13_main_fund_stability,1.0,1962,Liquidity,0.07857495764659718,-0.002340009251220826,0.19813140914617713,Beta,0.1583435383215042,-0.027282248907015826,False
factor_01_residual_volatility,1.0,1962,Liquidity,0.0643876096352226,-0.0012311592413444669,0.1654594921645532,Beta,0.11939536509664798,-0.002968404919943312,False
factor_03_turnover_volatility_momentum,1.0,1962,Growth,0.09180937112984443,0.0003216805072774711,0.22904458880923217,Beta,0.18067653176177387,-0.019126566749321762,False
factor_05_volume_price_divergence_cov,1.0,1962,Liquidity,0.06818926693040923,-0.0019834462331833396,0.18988506326657983,Beta,0.12440501807930876,-0.014006683828204889,False
factor_44_volume_divergence_composite_momentum,1.0,1962,Growth,0.09859527248830317,-0.007994084647029968,0.21901654878174426,Beta,0.20522077605395364,-0.04391368832166433,False
factor_15_multi_dimensional_reversal,1.0,1962,Growth,0.11127526766703434,-0.009182475513794858,0.2377827296468564,Beta,0.23190654785849024,-0.0507229619843348,False
factor_19_price_momentum_fund_volatility_reverse,1.0,1962,Liquidity,0.07055687527093275,-0.00245823652471229,0.18872904476989755,Beta,0.14032417199264136,-0.019396933527605225,False
