factor,style,n_corr_days,corr_mean,corr_abs_mean,corr_abs_median,corr_abs_p95,corr_abs_max,share_abs_corr_ge_030,share_abs_corr_ge_050
factor_04_reversal_turnover_enhanced,Size,1846,-0.0007938235162142265,0.10526079325423436,0.09558660437238199,0.23249320528416034,0.7969155311492782,0.013001083423618635,0.0016251354279523294
factor_04_reversal_turnover_enhanced,Beta,1962,-0.01124580811645874,0.09618944356663779,0.08505505424435514,0.2218891444309576,0.4194808343076126,0.006625891946992864,0.0
factor_04_reversal_turnover_enhanced,Momentum,1845,0.0007500449150854683,0.09883287190352667,0.08573171988934908,0.23405283283998643,0.48834731503220125,0.00921409214092141,0.0
factor_04_reversal_turnover_enhanced,ResVol,1796,-0.0007684274593179327,0.09099817451049066,0.07714213682283283,0.21687500945079066,0.43830205504345426,0.009465478841870824,0.0
factor_04_reversal_turnover_enhanced,NLS,1846,-0.0017485549649473942,0.09944161435464581,0.08866645204477779,0.22355414120773007,0.7969155311492782,0.010292524377031419,0.0010834236186348862
factor_04_reversal_turnover_enhanced,BTP,1807,0.001663817051704563,0.10780015758431441,0.09789591400747608,0.24265447447376556,0.7902798059207252,0.01383508577753182,0.0011068068622025456
factor_04_reversal_turnover_enhanced,Liquidity,1728,0.003632146092433548,0.10498244456710476,0.09024950038639158,0.2522420604158725,0.9171217042047003,0.02141203703703704,0.004050925925925926
factor_04_reversal_turnover_enhanced,EY,1807,0.00037435291309465587,0.10892841365798311,0.10191285463469084,0.24492048405511024,0.7526060943792817,0.013281682346430549,0.0005534034311012728
factor_04_reversal_turnover_enhanced,Growth,1891,-0.0010166454847318148,0.11680618349534078,0.10537849178437804,0.26283979684042746,0.4485309251647789,0.028027498677948175,0.0
factor_04_reversal_turnover_enhanced,Leverage,1785,-0.005614908558117854,0.1128535006195819,0.10525409919917435,0.24743929066997608,0.5444088934777072,0.011764705882352941,0.0011204481792717086
factor_07_price_volume_deviation_vol,Size,1846,-0.0007311267407005206,0.06457846442240567,0.052779417084101075,0.15505317575551805,0.977763296769603,0.004875406283856988,0.0016251354279523294
factor_07_price_volume_deviation_vol,Beta,1962,-0.010507432375705311,0.06221438107259602,0.052291954344490285,0.15106169966140798,0.30792269628074015,0.0010193679918450561,0.0
factor_07_price_volume_deviation_vol,Momentum,1845,-0.00291870832212895,0.062023015444480745,0.048795261603904946,0.15255142518732212,0.5621262704349075,0.004878048780487805,0.0005420054200542005
factor_07_price_volume_deviation_vol,ResVol,1796,-0.000744927757361937,0.05799150156796645,0.046528304002166794,0.14235328921485765,0.5504988106058324,0.0027839643652561247,0.0005567928730512249
factor_07_price_volume_deviation_vol,NLS,1846,-0.001375933660606453,0.06198298722139443,0.04983251994586607,0.1512739619224151,0.977763296769603,0.004333694474539545,0.0016251354279523294
factor_07_price_volume_deviation_vol,BTP,1807,0.003480365462668415,0.0666440316098456,0.05573143245669955,0.16800747849581346,0.8543210057154694,0.003320420586607637,0.0011068068622025456
factor_07_price_volume_deviation_vol,Liquidity,1728,-0.0006204052532273144,0.07411937871449657,0.05834404587224365,0.18693931699238872,0.9995979656399913,0.011574074074074073,0.003472222222222222
factor_07_price_volume_deviation_vol,EY,1807,0.0013521553418632984,0.06448749484054364,0.053553981002507585,0.156873801663616,0.4109496941811108,0.004427227448810182,0.0
factor_07_price_volume_deviation_vol,Growth,1891,-0.0021303499167190797,0.07122328120368604,0.06160589167268321,0.17662450803956017,0.42429360263311716,0.004759386567953464,0.0
factor_07_price_volume_deviation_vol,Leverage,1785,9.603331770602314e-05,0.06998365425024054,0.05916642924707578,0.16625217326206124,0.616262392600055,0.004481792717086834,0.0011204481792717086
factor_12_turnover_volatility,Size,1846,-0.0015392211092857054,0.09842253366598415,0.0872658633718496,0.22131563930817252,0.8187420253902197,0.0065005417118093175,0.0010834236186348862
factor_12_turnover_volatility,Beta,1962,-0.010725229013306073,0.09030269222189324,0.0821538250378667,0.20547198246047543,0.3377094308480766,0.0025484199796126403,0.0
factor_12_turnover_volatility,Momentum,1845,6.159236674935951e-05,0.09241732006555252,0.0811264235895886,0.2213116534302919,0.6964992584028146,0.00921409214092141,0.001084010840108401
factor_12_turnover_volatility,ResVol,1796,-0.0010505489621706616,0.08435606178147953,0.0715973684849325,0.20102778024470833,0.7027506439886936,0.005567928730512249,0.0005567928730512249
factor_12_turnover_volatility,NLS,1846,-0.0026521217981480653,0.09280555931011875,0.08148603351658057,0.21218400113007388,0.8187420253902197,0.004875406283856988,0.0010834236186348862
factor_12_turnover_volatility,BTP,1807,0.003422439654823578,0.10100818091128096,0.09130472013707107,0.22537346191859967,0.9024088249217799,0.007194244604316547,0.0011068068622025456
factor_12_turnover_volatility,Liquidity,1728,0.00363300980328208,0.09794670091764891,0.08220019502322141,0.23182537595361474,0.7562618082384286,0.013310185185185185,0.0028935185185185184
factor_12_turnover_volatility,EY,1807,0.0009330305005652099,0.10098112716793385,0.09330182854469188,0.22355798994697693,0.6456490796334073,0.007194244604316547,0.0005534034311012728
factor_12_turnover_volatility,Growth,1893,-0.0005119332891055918,0.107039337355413,0.095781851310743,0.24317779279796495,0.4546233378516751,0.017960908610670893,0.0
factor_12_turnover_volatility,Leverage,1785,-0.006120061194707402,0.10541307193427617,0.09643968929583047,0.2357236096671133,0.4681218281233027,0.00784313725490196,0.0
factor_13_main_fund_stability,Size,1846,-0.0037067555826967814,0.06862064048164054,0.05921879257550389,0.16603278309507205,0.9118602128056644,0.0032502708559046588,0.0010834236186348862
factor_13_main_fund_stability,Beta,1962,-0.013613552657428451,0.06872600793589682,0.061037646234972515,0.16001416871270788,0.2957010739748856,0.0,0.0
factor_13_main_fund_stability,Momentum,1845,-0.004552529383706174,0.0640196597381257,0.051861658610303556,0.16092024834207408,0.4877244926113484,0.0027100271002710027,0.0
factor_13_main_fund_stability,ResVol,1796,-0.0005961553870307837,0.060158256989868694,0.05060066623592141,0.14630908775681553,0.6517807226850166,0.0027839643652561247,0.0011135857461024498
factor_13_main_fund_stability,NLS,1846,-0.0036185518637629316,0.06536636948577662,0.056174517509746794,0.16328597146033735,0.9118602128056644,0.0027085590465872156,0.0005417118093174431
factor_13_main_fund_stability,BTP,1807,0.00521372950737698,0.07114608874836495,0.060866557267092024,0.17257530438130614,0.8625920446167401,0.004427227448810182,0.0011068068622025456
factor_13_main_fund_stability,Liquidity,1728,-0.002340009251220826,0.07857495764659718,0.06162928761783187,0.19813140914617713,0.9046458633531197,0.015046296296296295,0.004050925925925926
factor_13_main_fund_stability,EY,1807,0.0022623214762770762,0.06787669353375993,0.05693529341596871,0.1644988560224083,0.4389355383416224,0.003320420586607637,0.0
