factor,style,n_exposure_days,portfolio_exposure_mean,portfolio_exposure_abs_mean,portfolio_exposure_abs_median,portfolio_exposure_abs_p95,portfolio_exposure_abs_max
factor_04_reversal_turnover_enhanced,Size,1846,-0.009292259997233007,0.217868132916623,0.1912041496149374,0.5266504490449567,0.9493730976798918
factor_04_reversal_turnover_enhanced,Beta,1962,-0.023173502015144093,0.2240688767769279,0.1974321429829409,0.5236018261756084,0.9455541137831862
factor_04_reversal_turnover_enhanced,Momentum,1845,0.0035575975635245387,0.19670406365295817,0.16334598193051242,0.4904568038658807,0.8082925364956908
factor_04_reversal_turnover_enhanced,ResVol,1797,-0.0029874597608334787,0.17539643093390211,0.14147039800855737,0.450246658354534,0.7645335115479603
factor_04_reversal_turnover_enhanced,NLS,1846,-0.008825287046360247,0.20662825654087566,0.17506957671821127,0.501421409431468,0.9456522846091121
factor_04_reversal_turnover_enhanced,BTP,1807,0.003890896580140925,0.21227791907942908,0.1833830416186943,0.5010202158930527,0.8457988149437989
factor_04_reversal_turnover_enhanced,Liquidity,1729,0.0030692433154551925,0.14431821267363856,0.10199309524725966,0.4190306043578895,0.9199891650981907
factor_04_reversal_turnover_enhanced,EY,1807,-0.0005086841183402404,0.21554452371079036,0.19127132446382628,0.5177367744361993,0.8228921427941295
factor_04_reversal_turnover_enhanced,Growth,1962,-0.014646005585265586,0.19995059470692422,0.1701699604024128,0.5033783507296236,0.9320441607050673
factor_04_reversal_turnover_enhanced,Leverage,1785,-0.011052458307345426,0.22095456920279902,0.20042592094206513,0.5270611818235303,0.8286112106953922
factor_07_price_volume_deviation_vol,Size,1846,-0.0077928738251725905,0.12744831747471855,0.10427549242337883,0.3310178229786168,0.7166867653382112
factor_07_price_volume_deviation_vol,Beta,1962,-0.020173710094213964,0.14327551546205322,0.1198339377495904,0.3439912841255197,0.7677805735334783
factor_07_price_volume_deviation_vol,Momentum,1845,-0.0011182514339316968,0.1180378264716438,0.09361134166942407,0.3079068516334122,0.6681927735834626
factor_07_price_volume_deviation_vol,ResVol,1797,-0.003684627145320239,0.10844904847401407,0.08261791722316711,0.29574040636618204,0.5763719140483408
