,factor_01_residual_volatility,factor_02_volume_amount_efficiency,factor_03_turnover_volatility_momentum,factor_04_reversal_turnover_enhanced,factor_05_volume_price_divergence_cov,factor_06_ma_filter_reversal,factor_07_price_volume_deviation_vol,factor_08_liquidity_stability,factor_09_vol_adjusted_reversal,factor_10_deviation_volume_weighted,factor_12_turnover_volatility,factor_13_main_fund_stability,factor_14_main_fund_peak_reverse_rank,factor_15_multi_dimensional_reversal,factor_16_price_volume_volatility_negative,factor_17_price_fund_volatility_negative,factor_19_price_momentum_fund_volatility_reverse,factor_22_rank_momentum_reversal,factor_26_dual_style_ir_spread,factor_28_main_elg_flow_synergy,factor_31_main_elg_flow_rank_diff_decay,factor_35_price_spread_momentum,factor_36_short_vol_adjusted_return,factor_37_volume_stable_close,factor_38_volatility_difference_proxy,factor_39_reverse_price_volume_rank,factor_40_fund_flow_max_drawdown,factor_41_high_open_momentum_decay,factor_42_adjusted_price_reversal,factor_43_turnover_relative_strength_reversal,factor_44_volume_divergence_composite_momentum,factor_48_turnover_adjusted_abnormal_price_momentum,factor_49_volatility_trend_composite,factor_50_reverse_standardized_decay_volume_price,factor_52_large_outflow_momentum_reversal,factor_56_cashflow_price_trend
factor_01_residual_volatility,1.0,0.15524775118096915,0.39978198291996125,0.39860602187165645,0.36937969745099775,0.2513286557446778,0.6140020154435153,0.4676867361535551,0.372896977585303,0.048131622262458186,0.49097021726080947,0.5561764917004673,0.3522080649743281,0.377796289357053,0.36721498252477924,0.4262501539149349,0.4047963382393553,0.2494443840074666,-0.11205382076173336,-0.029443173312174088,0.11380177109985329,0.294812739435656,0.2656300225978686,-0.007922889175882344,0.01646196155864041,0.2122545976539285,0.013723365714839775,0.4145242402757752,0.3064075257763818,0.4270336335721052,0.37798164624204905,0.08301424678223256,0.12436589458220117,0.3006933874578478,0.11108481913992853,0.24845720607952457
factor_02_volume_amount_efficiency,0.15524775118096915,1.0,0.17452164270185982,0.17596763920035857,0.08753291701679107,0.13758542774121946,0.16760662331556664,0.3552985166571581,0.10521485857904575,0.00584304172298494,0.19105804457094802,0.17350171480825696,0.2508080692252666,0.10156787987695798,0.3536211731123292,0.4565512126428172,0.19287212902888234,0.0816425209412635,-0.14230210757671022,0.030338523475889577,0.12955959159067384,0.18039451259086944,0.37672808119832296,0.5140924746332197,-0.0035944488891580893,0.49579955144936705,-0.005378452741389211,0.38101157944541414,0.08924790460973694,0.07503620097490747,0.07657828263707565,0.33730589721833654,-0.03728648729491949,0.056236705140443245,-0.02135990338405183,0.4067331524136933
factor_03_turnover_volatility_momentum,0.39978198291996125,0.17452164270185982,1.0,0.6887549583127179,0.36058398831474164,0.32853810414739953,0.5398658873691285,0.4611853121950752,0.511952702769344,0.41532917488130044,0.7071299659009551,0.4292667509413679,0.41149605958810365,0.8069517381828392,0.5666495307445811,0.4512607754589527,0.6782473026944195,0.4377198756601901,-0.043749864614584334,0.17771961009429688,0.05165030949593061,0.3768203496899698,0.5347011761508522,0.06582566057168539,0.033389061697696065,0.4295885548137135,-0.0013499156989275677,0.31601560314905325,0.5358578683250635,0.47055932358081004,0.7271921849478264,0.1438343462801372,0.454243574358566,0.6643244356171345,0.19091882759558024,0.1521897329844622
factor_04_reversal_turnover_enhanced,0.39860602187165645,0.17596763920035857,0.6887549583127179,1.0,0.31569394422621133,0.2834828330873109,0.5271589333355408,0.3882144774430692,0.39852488041472983,0.29285798228277093,0.7615760994605154,0.43264515520953706,0.3251473867968112,0.6119725144103269,0.5092944286091731,0.4422758080150996,0.44796054212116965,0.33087954231903366,-0.10510943940373756,0.11044371127237604,0.1601650627099701,0.3034248073664887,0.3817787595451947,0.10161231684040047,0.018560999625274972,0.47489614723581575,0.008912942595227655,0.35718021042894366,0.3946262626322557,0.3439990538065171,0.5221794454671513,0.14631377922853117,0.2334299550334261,0.5034254971089247,0.20339609747892592,0.1955904811305955
factor_05_volume_price_divergence_cov,0.36937969745099775,0.08753291701679107,0.36058398831474164,0.31569394422621133,1.0,0.11424223663086518,0.5528992368175667,0.3980984154894687,0.4021368585534918,0.21216444288324826,0.38584552185432186,0.5164318520622847,0.3165562695569665,0.406617799236029,0.3631331154945676,0.34934139616483983,0.34166532327834054,0.2592482576645543,-0.024588062823774202,-0.03025787485917207,0.11465174849824997,0.13738449361469163,0.22513356715410351,-0.010992147018828264,0.025728459137012008,0.3161169777954344,0.0010525900004312617,0.14554678473653898,0.3012149035419793,0.3469889623699162,0.338413601230326,0.08258583058328621,0.09929026342524004,0.22566998906624747,0.020279349277351866,0.1676902792850235
factor_06_ma_filter_reversal,0.2513286557446778,0.13758542774121946,0.32853810414739953,0.2834828330873109,0.11424223663086518,1.0,0.23740724807200508,0.15008450115441566,0.27924750051395814,0.5566623032751757,0.16367809914603493,0.18561122935402846,0.1999665298435776,0.2537578209363713,0.23839174738078373,0.2802969097241343,0.3344151399880721,0.23446245665425688,-0.057588654761877,0.17044937197096977,-0.02917848070702213,0.7072652800490842,0.4222080305718567,0.18819972290397693,-0.05045167771350056,0.23560621225028927,-0.0024102634259746307,0.490906546336535,0.31068064553358565,0.09600845907665102,0.21740041295433615,0.0650860203742525,0.2721145663935101,0.44783509474165856,0.0700989005622648,0.14505650211652063
factor_07_price_volume_deviation_vol,0.6140020154435153,0.16760662331556664,0.5398658873691285,0.5271589333355408,0.5528992368175667,0.23740724807200508,1.0,0.6270283635704014,0.3951691858802853,0.21598561836937877,0.5738631612645266,0.8445493882360099,0.5098261433380186,0.5653183047298506,0.6751313513310959,0.6322372455094415,0.5777792875731363,0.2915192114879844,-0.057600145732063346,-0.00815243932488693,0.12916191874199523,0.2525356187620459,0.3640854797073326,0.09244069114486052,0.02608887090762311,0.5043087615031092,0.005379840809750456,0.2876159293244306,0.3632356098614032,0.4038502850700425,0.5298084332048179,0.14728234541379914,0.18553177592081815,0.431476430248314,0.14894636253588114,0.28359919722105603
factor_08_liquidity_stability,0.4676867361535551,0.3552985166571581,0.4611853121950752,0.3882144774430692,0.3980984154894687,0.15008450115441566,0.6270283635704014,1.0,0.26921049241900263,0.06325259097194695,0.4435804004598211,0.6734544056964629,0.7003710101839583,0.5535966155345068,0.6968972377751328,0.7772928821280707,0.6325443475885887,0.21746989929327434,-0.060055983107833326,-0.1077750703123108,0.2549965806936177,0.1701643750416772,0.4108165415996526,-0.04857193737880642,0.004330906880117086,0.6665983451824172,-0.004332871885990592,0.25606487491654606,0.2265323749775246,0.3926413345721186,0.47473073800575083,0.3033563059048592,0.09816237772747669,0.2601940273184322,0.02663795202228489,0.4268768271197941
factor_09_vol_adjusted_reversal,0.372896977585303,0.10521485857904575,0.511952702769344,0.39852488041472983,0.4021368585534918,0.27924750051395814,0.3951691858802853,0.26921049241900263,1.0,0.37878343477190807,0.40792611887568286,0.3409936495148956,0.27202495114226943,0.4802468286871549,0.33802688121494595,0.3341421885851978,0.5025510000195449,0.6757670290324257,-0.03726577989700224,0.15544947873786696,-0.039797202323612973,0.29522606051828093,0.41174555844023053,0.08909221548715435,0.0605861533578909,0.2662268971222424,-0.00010108614558514099,0.2734366309869459,0.8787594375007832,0.5003328547748396,0.43925332865891586,0.07246984700393612,0.4189917356933493,0.6119355532463737,0.19697132684824029,0.1253072571229638
factor_10_deviation_volume_weighted,0.048131622262458186,0.00584304172298494,0.41532917488130044,0.29285798228277093,0.21216444288324826,0.5566623032751757,0.21598561836937877,0.06325259097194695,0.37878343477190807,1.0,0.16568344063606363,0.14889921018452432,0.16279200763642931,0.4344183489704111,0.12202178647831063,0.1166628115344993,0.45520381628258283,0.30724328021282526,-0.0029450417633282815,0.220403458716734,-0.06871477089356133,0.47748762175282583,0.3716514441641948,0.024053320392693547,0.02944609304751645,0.15390698407875947,-0.00388191144715747,0.29394784218522113,0.421271801739226,0.1377655563431734,0.35105605962526504,0.015412068283505845,0.407217382673885,0.594041608931809,0.10854387704194071,0.014705067465962268
factor_12_turnover_volatility,0.49097021726080947,0.19105804457094802,0.7071299659009551,0.7615760994605154,0.38584552185432186,0.16367809914603493,0.5738631612645266,0.4435804004598211,0.40792611887568286,0.16568344063606363,1.0,0.4534495049035125,0.2968804708617065,0.5625921855966084,0.5610694019797402,0.4566444460308834,0.43283737898628544,0.2993003121361661,-0.11432707312434115,0.04103723792147415,0.1786694230142693,0.21412876367409134,0.371046828542205,0.12243922868516341,0.02141481131709764,0.3837579282193403,0.01991130958668156,0.25435627932001575,0.35480267004704097,0.4843985860516728,0.5628799911360325,0.12380010619748148,0.20083160767388,0.38649853345271445,0.11981444594518958,0.18531116785711063
factor_13_main_fund_stability,0.5561764917004673,0.17350171480825696,0.4292667509413679,0.43264515520953706,0.5164318520622847,0.18561122935402846,0.8445493882360099,0.6734544056964629,0.3409936495148956,0.14889921018452432,0.4534495049035125,1.0,0.6236055945105315,0.500028721834413,0.6071159189835704,0.6849590643554389,0.5810760777645305,0.25859344655954464,-0.06255991888267122,-0.07375693263887959,0.12501902310009685,0.2217157773211215,0.32914943087821463,0.07077103358219627,0.02683564219149169,0.5261190793406646,0.0038109487907804825,0.28142546913963656,0.3183849358263196,0.3622191544248372,0.44110993720844816,0.14572023871314221,0.12206389446699033,0.32986254196955256,0.0879669824275663,0.307374683427751
