,factor_04_reversal_turnover_enhanced,factor_43v_turnover_relative_strength_reversal_5_180,factor_07_price_volume_deviation_vol,factor_12_turnover_volatility,factor_13_main_fund_stability,factor_01_residual_volatility,factor_19v_price_momentum_fund_volatility_reverse_5_15,factor_03_turnover_volatility_momentum,factor_05_volume_price_divergence_cov,factor_44_volume_divergence_composite_momentum
factor_04_reversal_turnover_enhanced,1.0,0.5256778501605214,0.5271589333355408,0.7615760994605154,0.43264515520953706,0.39860602187165645,0.4505524942336069,0.6887549583127179,0.31569394422621133,0.5221794454671513
factor_43v_turnover_relative_strength_reversal_5_180,0.5256778501605214,1.0,0.5070131830536795,0.5242834102702681,0.4086306555206632,0.4051710703969504,0.38220786884054114,0.5895040179069425,0.2766651131369115,0.558567173120317
factor_07_price_volume_deviation_vol,0.5271589333355408,0.5070131830536795,1.0,0.5738631612645266,0.8445493882360099,0.6140020154435153,0.44464744916267385,0.5398658873691285,0.5528992368175667,0.5298084332048179
factor_12_turnover_volatility,0.7615760994605154,0.5242834102702681,0.5738631612645266,1.0,0.4534495049035125,0.49097021726080947,0.29944080569823045,0.7071299659009551,0.38584552185432186,0.5628799911360325
factor_13_main_fund_stability,0.43264515520953706,0.4086306555206632,0.8445493882360099,0.4534495049035125,1.0,0.5561764917004673,0.4670862027976075,0.4292667509413679,0.5164318520622847,0.44110993720844816
factor_01_residual_volatility,0.39860602187165645,0.4051710703969504,0.6140020154435153,0.49097021726080947,0.5561764917004673,1.0,0.3129052878608121,0.39978198291996125,0.36937969745099775,0.37798164624204905
factor_19v_price_momentum_fund_volatility_reverse_5_15,0.4505524942336069,0.38220786884054114,0.44464744916267385,0.29944080569823045,0.4670862027976075,0.3129052878608121,1.0,0.5374727955615655,0.27111050901528694,0.429861290277182
factor_03_turnover_volatility_momentum,0.6887549583127179,0.5895040179069425,0.5398658873691285,0.7071299659009551,0.4292667509413679,0.39978198291996125,0.5374727955615655,1.0,0.36058398831474164,0.7271921849478264
factor_05_volume_price_divergence_cov,0.31569394422621133,0.2766651131369115,0.5528992368175667,0.38584552185432186,0.5164318520622847,0.36937969745099775,0.27111050901528694,0.36058398831474164,1.0,0.338413601230326
factor_44_volume_divergence_composite_momentum,0.5221794454671513,0.558567173120317,0.5298084332048179,0.5628799911360325,0.44110993720844816,0.37798164624204905,0.429861290277182,0.7271921849478264,0.338413601230326,1.0
