factor,factor_id,status,direction,n_days,latest_coverage,ls_ar,ls_sr,selected_ar,selected_sr,long_excess_ar,long_excess_sr,short_excess_ar,short_excess_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir
factor_04_reversal_turnover_enhanced,04,proxy,1,2236,0.949,0.6364403321562883,2.9075177630654623,0.6364403321562883,2.9075177630654623,0.05206256430746321,1.101675882424707,0.5843777678488251,3.23427275968811,0.02568728088456803,2.6590760582894832,0.02568728088456803,2.6590760582894832
factor_43v_turnover_relative_strength_reversal_5_180,43v,variant,1,2236,0.887,0.4207272401276188,2.5155867831402285,0.4207272401276188,2.5155867831402285,0.049247199021632146,1.1445508402644282,0.37148004110598665,2.7549538312311594,0.021278260324966002,2.5038022731068272,0.021278260324966002,2.5038022731068272
factor_07_price_volume_deviation_vol,07,ready,1,2236,0.946,0.4766210366087678,2.436273273512774,0.4766210366087678,2.436273273512774,0.09958241570018499,2.2702021917403594,0.37703862090858287,2.3887498871098085,0.02054320517530375,2.3281645830549538,0.02054320517530375,2.3281645830549538
factor_12_turnover_volatility,12,proxy,1,2236,0.946,0.41863409034518806,2.2607591762416215,0.41863409034518806,2.2607591762416215,0.06943328810182782,1.5099633179696919,0.3492008022433602,2.3875851914763904,0.018042869790972964,1.9715699776361453,0.018042869790972964,1.9715699776361453
factor_13_main_fund_stability,13,local_proxy,1,2236,0.946,0.4208496549061871,2.2523956557907274,0.4208496549061871,2.2523956557907274,0.09727987936244331,2.1300621920149947,0.32356977554374367,2.1945677024606955,0.018516234247106696,2.151080298540024,0.018516234247106696,2.151080298540024
factor_01_residual_volatility,01,ready,1,2236,1.0,0.34662634632494266,2.1670670992130194,0.34662634632494266,2.1670670992130194,0.08527582145413301,2.226375969970606,0.2613505248708097,2.055594201119454,0.015215796198702313,2.121014941376496,0.015215796198702313,2.121014941376496
factor_15v_multi_dimensional_reversal_10_10_15,15v,variant,1,2236,0.946,0.3450042341352365,2.15883965561028,0.3450042341352365,2.15883965561028,0.05396173414122773,1.3588251081763747,0.2910424999940087,2.3559214013490615,0.018983559132863537,2.0711453507332225,0.018983559132863537,2.0711453507332225
factor_19v_price_momentum_fund_volatility_reverse_5_15,19v,variant,1,2236,0.946,0.305521958200237,2.1556345715026377,0.305521958200237,2.1556345715026377,0.0799118090884121,1.7047294097823797,0.22561014911182492,2.2591863150806013,0.02003439183837134,2.3201612692599105,0.02003439183837134,2.3201612692599105
factor_03_turnover_volatility_momentum,03,proxy,1,2236,0.946,0.3318682873165019,2.096389924459769,0.3318682873165019,2.096389924459769,0.0522396233041076,1.1562405780776657,0.2796286640123943,2.3678736411787185,0.018200912748050357,1.9461912915749924,0.018200912748050357,1.9461912915749924
factor_05_volume_price_divergence_cov,05,local_ready,1,2236,1.0,0.36885410944229596,2.084350774462429,0.36885410944229596,2.084350774462429,0.03715678701037471,0.7259412782734689,0.3316973224319213,2.2513889888870438,0.01530798326720184,2.0707624243284752,0.01530798326720184,2.0707624243284752
factor_44_volume_divergence_composite_momentum,44,proxy,1,2236,0.94,0.32874518676844067,2.0465424262209275,0.32874518676844067,2.0465424262209275,0.06015827909789219,1.7087467626828368,0.2685869076705485,2.081337367680002,0.016683662470619497,1.953876213087706,0.016683662470619497,1.953876213087706
