factor,factor_id,status,direction,n_days,latest_coverage,ls_ar,ls_sr,selected_ar,selected_sr,long_excess_ar,long_excess_sr,short_excess_ar,short_excess_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir
factor_xx_f43_s5_l180,xx,variant,1,2236,0.887,0.4207272401276188,2.5155867831402285,0.4207272401276188,2.5155867831402285,0.049247199021632146,1.1445508402644282,0.37148004110598665,2.7549538312311594,0.021278260324966002,2.5038022731068272,0.021278260324966002,2.5038022731068272
factor_xx_f43_s5_l120,xx,variant,1,2236,0.902,0.39649825741791084,2.483575664772214,0.39649825741791084,2.483575664772214,0.04345350748347254,1.0013430953083664,0.35304474993443835,2.7794364570492207,0.020716391051653158,2.529277515694255,0.020716391051653158,2.529277515694255
factor_xx_f43_s5_l240,xx,variant,1,2236,0.852,0.42602332490535777,2.4486568742936172,0.42602332490535777,2.4486568742936172,0.05555210360290959,1.2796228047950244,0.37047122130244814,2.61806650997257,0.021003381865199025,2.3852504235748624,0.021003381865199025,2.3852504235748624
factor_xx_f43_s5_l90,xx,variant,1,2236,0.914,0.3725376308640612,2.431782292483723,0.3725376308640612,2.431782292483723,0.039705547397238736,0.9092961659026798,0.33283208346682247,2.7586442001496314,0.019762446724014126,2.480112592485771,0.019762446724014126,2.480112592485771
factor_xx_f43_s5_l60,xx,variant,1,2236,0.924,0.3315102641215526,2.319980554104214,0.3315102641215526,2.319980554104214,0.03303896566149656,0.7548039100606505,0.298471298460056,2.7030431059084243,0.018154491656778234,2.3861834466182854,0.018154491656778234,2.3861834466182854
factor_xx_f43_s10_l180,xx,variant,1,2236,0.887,0.3527215410060775,2.237341029710341,0.3527215410060775,2.237341029710341,0.05459026074099057,1.2403072404886288,0.298131280265087,2.4036215010383213,0.018468825375779124,2.195259734245576,0.018468825375779124,2.195259734245576
factor_xx_f43_s10_l240,xx,variant,1,2236,0.852,0.35871647107718296,2.1781142421312167,0.35871647107718296,2.1781142421312167,0.05889788074772026,1.326395414150902,0.2998185903294627,2.2871327139548367,0.01815971912928451,2.085127113899881,0.01815971912928451,2.085127113899881
factor_xx_f43_s10_l120,xx,variant,1,2236,0.902,0.3253080256663823,2.1701283802367377,0.3253080256663823,2.1701283802367377,0.04616660163933165,1.0337717080146833,0.2791414240270506,2.408652220469215,0.0177863670553696,2.190178911523707,0.0177863670553696,2.190178911523707
factor_xx_f15_p10_v10_t15,xx,variant,1,2236,0.946,0.3450042341352365,2.15883965561028,0.3450042341352365,2.15883965561028,0.05396173414122773,1.3588251081763747,0.2910424999940087,2.3559214013490615,0.018983559132863537,2.0711453507332225,0.018983559132863537,2.0711453507332225
factor_xx_f19_lag5_fw15,xx,variant,1,2236,0.946,0.305521958200237,2.1556345715026377,0.305521958200237,2.1556345715026377,0.0799118090884121,1.7047294097823797,0.22561014911182492,2.2591863150806013,0.02003439183837134,2.3201612692599105,0.02003439183837134,2.3201612692599105
factor_xx_f19_lag5_fw20,xx,variant,1,2236,0.944,0.3038583613128819,2.1503771903916147,0.3038583613128819,2.1503771903916147,0.08027942490281903,1.7205566146322222,0.2235789364100629,2.243849387216062,0.019895232806551175,2.310942043637202,0.019895232806551175,2.310942043637202
factor_xx_f15_p10_v10_t10,xx,variant,1,2236,0.946,0.3423933371588735,2.1466242748353053,0.3423933371588735,2.1466242748353053,0.05103199029532667,1.2858261211833908,0.2913613468635468,2.363736680779343,0.018908852386262696,2.06545995859639,0.018908852386262696,2.06545995859639
factor_xx_f15_p10_v15_t15,xx,variant,1,2236,0.946,0.340321909209736,2.1379418604016713,0.340321909209736,2.1379418604016713,0.05438409123146761,1.3712281850756611,0.2859378179782684,2.3258498763071676,0.018688183727480996,2.0487748280967364,0.018688183727480996,2.0487748280967364
