style,pre_neutral_signal_corr,post_neutral_signal_corr,mean_active_exposure,max_abs_active_exposure
Size,-0.15097165770905913,2.6873006487350313e-17,5.876821868788556e-17,9.06219543850284e-15
Beta,-0.06361419156913707,4.004461097275132e-17,8.20661060704735e-17,5.460042140637e-15
Momentum,-0.10091341809786364,1.5284932090488932e-17,3.239669793859951e-17,5.7419347054832315e-15
ResVol,-0.11434632355400183,-5.130023856565606e-18,-1.0772780190762499e-17,4.746203430272544e-15
NLS,-0.14664309856598676,2.7156240312726846e-17,5.948138709365108e-17,8.847089727481716e-15
BTP,0.13240629539510476,-6.700646189371608e-17,-1.4077230579543766e-16,5.929284840888727e-15
Liquidity,-0.42642008516032415,1.68907188318289e-17,3.899636651161637e-17,5.676015213396113e-15
EY,0.09209666072859693,-4.703828954139882e-18,-1.2401410896014875e-17,6.63358257213531e-15
Growth,0.03382041335630807,1.2851642428593647e-17,2.5860349434775816e-17,6.305774045284318e-15
Leverage,-0.023546327673262986,-1.8018729068640526e-17,-3.895311479704316e-17,5.955305693028379e-15
