factor,data_root,start_date,delay,listed_days,n_days,latest_coverage,ls_ar,ls_sr,long_excess_ar,long_excess_sr,short_excess_ar,short_excess_sr,ic_mean,ic_ir,passes_abs_ar_gt_10pct_abs_sr_gt_2
factor_add_01_f34_1530_orth_core34,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.938,-0.02802413201069611,-0.46495681935221383,-0.06288466271849939,-1.6360071992102894,0.03486053070780331,0.8035600426361177,-0.0020789041170896166,-0.5439737251167017,False
factor_add_02_f43_industry_neutral,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.902,0.15076274623646654,1.9258606288226723,0.04757218143605671,1.3464917674509347,0.1031905648004098,2.0590912905313092,0.009747413203646384,1.9567944154307075,False
factor_add_03_f18_orth_core34,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.0,,-0.07609026272815797,-0.3272340976826355,0.07609026272815797,0.3272340976826355,,,False
factor_add_04_f27_orth_core13,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.941,0.09342377262287845,0.95443534071479,-0.004817317851841617,-0.08258856408931901,0.09824109047472006,1.639531956200392,0.0048303206767891784,0.7867513904929051,False
factor_add_05_f29_orth_core13,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.917,0.0650204449889451,0.626927823762724,-0.020902241999790024,-0.3407352048915619,0.0859226869887351,1.3390523658341174,0.002209024078916687,0.33539655046707756,False
factor_add_06_quality_x_flow,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.917,0.16251111030726795,2.008107283949193,0.06219216601364606,1.5992116755383587,0.10031894429362186,2.0294410195316455,0.009254947769414192,1.7967227984457808,True
factor_add_07_value_x_turnover_reversal,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.897,0.1491051604509132,1.380985251188912,0.06313999743519327,1.1374918424521596,0.08596516301571999,1.3307706547543254,0.009081132402474674,1.3448447494821159,False
factor_add_08_growth_x_price_volume,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.0,,-0.07609026272815797,-0.3272340976826355,0.07609026272815797,0.3272340976826355,,,False
factor_add_09_cashflow_yield_lowvol,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.898,0.1578739201978621,1.153665969183808,0.06553821375872734,1.0240239521601058,0.09233570643913475,1.2067331438258404,0.007332964256178719,0.8598996304679678,False
factor_add_10_profitability_x_f34,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.912,0.12790460875520918,1.73513124219598,0.02999069229287149,1.0682170126814512,0.09791391646233764,1.8212310605666207,0.007346114269170126,1.602434886843884,False
factor_add_11_f43_low_barra_resvol,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.17781007854580222,1.5791853437561059,0.05827487461183672,0.5948181484672935,0.11953520393396548,1.1201569529307467,0.012990989236802943,1.728293677778084,False
factor_add_12_f34_value_barra_btp,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.14685684337315913,1.865711890168888,0.029923927577077326,0.3367342217956612,0.11693291579608187,1.2150527046224164,0.010749711243533721,2.0477705054973736,False
factor_add_13_flow_low_barra_beta,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.1652703902578722,1.7869314026834413,0.017618612428744716,0.2445761273502202,0.14765177782912747,1.8076260238951256,0.010040189391685859,1.6696212713427405,False
factor_add_14_f18_low_barra_liquidity,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.0,,-0.07609026272815797,-0.3272340976826355,0.07609026272815797,0.3272340976826355,,,False
factor_add_15_f43_barra_momentum_neutral,C:\Users\CXY\Desktop\研一下\量化\课程资料（中证1000）\stock1000\data,2017-01-01,2,20,2111,0.0,0.1934481802652343,1.7020334269148585,0.03827258240137207,0.4231023588227017,0.15517559786386217,1.483748963870952,0.013731748583198162,1.7905175436956684,False
